Company Name,Categories,Location,Contact Name,Address,Tel1,Tel2,Link
Inspire Edge Studio,"Architect,Interior Designer",,"UNIT  C-5-20 , BLOCK C","CENTUM @ OASIS CORPORATE PARK
                                                                                        JALAN PJU 1A/2 ,
                                                                                        47301",+60169152826,,https://atap.co/malaysia/en/professionals/inspire-edge-studio
The Grid Studio (M) Sdn Bhd,"Architect,Interior Designer",,The Grid Studio (M) Sdn Bhd,"Setia Walk, Persiaran Wawasan,
                                                                                        Pusat Bandar Puchong, 47160 Selangor.
                                                                                        47160",+60129251380,,https://atap.co/malaysia/en/professionals/the-grid-studio-m-sdn-bhd
SPACE 42 Design Studio,"Architect,Interior Designer",,Space 42 Interior Design Studio,"118-1-B Jalan Dataran Cheras, 8 , Dataran Perniagaan Cheras
                                                                                        Jalan Dataran
                                                                                        43200",+60122446528,+60126939689,https://atap.co/malaysia/en/professionals/space-42-design-studio
Apieceofart Sdn Bhd,"Architect,Interior Designer",,ApieceofArt Sdn Bhd,"9, Jalan 51/203A,
                                                                                                                                                                PJS 51,
                                                                                                                                                                46050",+60378730033,+60129093488,https://atap.co/malaysia/en/professionals/a-piece-of-art
WoodWood Design (M) Sdn Bhd,Interior Designer,Selangor,"G12, Residensi Equine, Jalan Equine,","Taman Equine Bandar Putra Permai
                                                                                                                                                                                                                    43300
                                                                                                                                                                Seri Kembangan
                                                                                                                                                                Selangor, Malaysia",+60167780793,+60199628288,https://atap.co/malaysia/en/professionals/wood-wood-design-studio
PLAYMAKER STUDIO SDN BHD,Interior Designer,WP Kuala Lumpur,Playmaker Studio Sdn Bhd,"5, Jalan 4/62A,
                                                                                                                                                                Bandar Manjalara,
                                                                                                                                                                52200
                                                                                                                                                                Kepong
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60123183205,,https://atap.co/malaysia/en/professionals/playmaker-studio-sdn-bhd
Doubble Interior Associates,Interior Designer,WP Kuala Lumpur,Doubble Interior Associates,"02-28, Residence Park Bukit Jalil, Jalan Persiaran Jalil Utama 57000, KL
                                                                                                                                                                                                                    57000
                                                                                                                                                                Bukit Jalil
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60397653861,+60146232339,https://atap.co/malaysia/en/professionals/doubble-interior-associates
Spaceplay,"Architect,Interior Designer",Selangor,No 20-1,"Jalan SS 2/61
                                                                                                                    47300
                                                                                        Petaling Jaya
                                                                                        Selangor, Malaysia",+60129806881,,https://atap.co/malaysia/en/professionals/spaceplay
Luna Plus Design Sdn Bhd,Interior Designer,WP Kuala Lumpur,Luna Plus Design Sdn Bhd,"A1-13-9 Arcoris Business Suites
                                                                                                                                                                Jalan Kiara
                                                                                                                                                                50480
                                                                                                                                                                                                                    WP Kuala Lumpur, Malaysia",+6064141974,+60143316495,https://atap.co/malaysia/en/professionals/luna-plus-design
Ringkas Studio Sdn Bhd,Interior Designer,Selangor,"1st Floor, Phase 2, Petronas Station,","Lot 36904, Jalan Kolam Air Lama,
                                                                                                                                                                                                                    68000
                                                                                                                                                                Ampang Jaya
                                                                                                                                                                Selangor, Malaysia",+601111818114,,https://atap.co/malaysia/en/professionals/ringkas-studio
